"","Female_estimate","Females_Jacknife","Females_low_95%_CI","Females_up_95%_CI","Males_estimate","Males_Jacknife","Males_low_95%_CI","Males_up_95%_CI","Method"
"Var_b0F",4.61151676186196,4.61151676186213,1.49723536428245,7.72579815944181,8.51370552986559,8.51370552986541,2.16497168209637,14.8624393776345,"Anova"
"Var_b1F",0.00334910240624308,0.00334910240624322,0.00104431752777673,0.0056538872847097,0.00619296580110271,0.0061929658011026,0.00161076678363755,0.0107751648185677,"Anova"
"Cov_b0F_b1F",-0.124157944178995,-0.124157944179,-0.208805189472823,-0.0395106988851777,-0.229524183897821,-0.229524183897816,-0.400045218563049,-0.0590031492325833,"Anova"
"Var_eF",0.0253234531463323,0.0253498177823088,0.0174162117937743,0.0332834237708432,0.0225888258571404,0.022625716296302,0.0162582990495379,0.0289931335430661,"Anova"
"Var_CTmaxF",0.627647881742237,0.636560741067617,0.168601228400205,1.10452025373503,2.29103244339635,2.29522898347667,0.810870930317605,3.77958703663574,"Anova"
"Var_zF",0.177251487612848,0.178170026633939,0.061913089637113,0.294426963630766,0.741910300213418,0.733917272326851,0.182959870027015,1.28487467462669,"Anova"
"H2_CTmaxF",0.777397652481543,0.785243739000811,0.713834775389662,0.85665270261196,0.754862388840325,0.753906382412037,0.707688973025275,0.800123791798799,"Anova"
"H2_zF",0.219541711805982,0.21220990543378,0.14222489046054,0.282194920407021,0.244448821813326,0.245497043811087,0.198955383415419,0.292038704206755,"Anova"
"Var_b0F1",3.632183492,3.814144037105,0.871781464440049,6.75650660976996,7.51101516,7.92596927285002,1.96101799297076,13.8909205527293,"ML"
"Var_b1F1",0.002667477,0.00280466422,0.000611503135714552,0.00499782530428545,0.005477585,0.0057814292,0.00147225023928364,0.0100906081607164,"ML"
"Cov_b0F_b1F1",-0.098333091157728,-0.103146245577558,-0.183387182851817,-0.0229053083033001,-0.202835463693722,-0.214072920347716,-0.374372599470952,-0.0537732412244811,"ML"
"Var_eF1",0.0253422105838318,0.0253789118826895,0.017434932256047,0.0333228915093321,0.0225908945534597,0.0226287825716768,0.0162622180474528,0.0289953470959008,"ML"
"Var_CTmaxF1",0.544843889424547,0.69967493528439,0.21355982187565,1.18579004869313,1.984050133343,2.09610393905957,0.709432475228923,3.48277540289021,"ML"
"Var_zF1",0.142061208530121,0.150939584692635,0.039449631440222,0.262429537945048,0.657860938879844,0.687461608891215,0.171166786459999,1.20375643132243,"ML"
"H2_CTmaxF1",0.79034128344437,0.837933741568362,0.747597783024977,0.928269700111748,0.750396675857739,0.749329973997603,0.698801019071548,0.799858928923658,"ML"
"H2_zF1",0.206071573998817,0.16020665665451,0.0719325676148584,0.248480745694162,0.248812594710147,0.25004548057196,0.199158192733411,0.300932768410508,"ML"
"Var_b0F2",3.860732975,3.81265594196,0.707171815333041,6.91814006858695,7.936581738,7.92629890949999,1.62760236727366,14.2249954517263,"REML"
"Var_b1F2",0.002833412,0.002803346495,0.000489248494430327,0.00511744449556968,0.005787226,0.0057818281,0.00123153603608037,0.0103321201639196,"REML"
"Cov_b0F_b1F2",-0.104485302736411,-0.103194630096472,-0.187844237762299,-0.0185450224306443,-0.214314705457389,-0.214085137968189,-0.383353864286212,-0.0448164116501663,"REML"
"Var_eF2",0.0253406055042995,0.0253781498737321,0.0174349966633749,0.0333213030840893,0.0225906897673604,0.0226285967570139,0.0162619341884154,0.0289952593256123,"REML"
"Var_CTmaxF2",0.576072744300822,0.642214934485365,0.134857869361772,1.14957199960896,2.09432693272498,2.09659078181885,0.632687034219737,3.56049452941796,"REML"
"Var_zF2",0.150862727279781,0.150927190850554,0.0333237175406679,0.26853066416044,0.69496093846926,0.687087067297301,0.141802333353388,1.23237180124121,"REML"
"H2_CTmaxF2",0.789780996078712,0.817682120491945,0.741656185057265,0.893708055926624,0.750284098348676,0.74937515922698,0.699061467896806,0.799688850557154,"REML"
"H2_zF2",0.206828939922834,0.180051889885025,0.106313277491351,0.253790502278699,0.248966927254537,0.2499905442514,0.19933957629472,0.30064151220808,"REML"
